id	Mass	molecular	a(xx)	a(yy)	a(zz)	ASA	ASA+	ASA-	ASA_H	ASA_P	Dreiding energy	fsp3	Harary index	Hyper wiener index	Maximal projection area	Maximal projection radius	Length perpendicular to the max area	Minimal projection area	Minimal projection radius	Length perpendicular to the min area	MMFF94 energy	Van der Waals surface area (3D)	Platt index	Polar surface area	Randic index	Szeged index	Van der Waals surface area (3D)	Wiener polarity	logP	acceptorcount	donorcount	accsitecount	donsitecount	count
1	394.31	35.80	38.65	51.76	17.01	434.80	293.89	140.90	404.09	30.70	73.25	0.06	94.15	4122	101.48	8.04	4.74	33.61	4.91	15.90	181.64	369.22	88	51.81	11.90	2092	369.22	42	4.28	4	0	4	0	200
2	400.41	38.74	41.04	56.50	18.68	464.68	333.76	130.92	448.74	15.94	120.77	0.05	100.05	4521	111.56	8.53	5.66	37.38	5.21	16.90	257.59	394.13	90	12.89	12.40	2458	394.13	45	2.57	2	0	2	0	200
3	399.42	39.20	55.86	42.90	18.85	486.95	377.37	109.58	462.82	24.12	112.96	0.04	100.35	4408	113.11	8.30	4.52	38.70	5.28	16.51	311.28	424.95	90	0.00	12.40	2551	424.95	45	3.89	1	0	1	0	20
4	391.5689	42.57	61.29	45.70	20.72	499.13	383.08	116.05	397.00	102.13	178.06	0.04	119.78	6275	118.67	8.70	5.75	44.91	5.86	16.96	325.05	443.05	104	26.03	13.88	3435	443.05	52	1.55	1	0	1	0	200
5	319.44	27.19	40.04	26.37	15.15	407.14	336.18	70.96	389.60	17.54	144.68	0.00	49.72	1238	82.13	7.53	5.06	34.38	4.12	14.95	356.13	296.69	56	0.00	7.90	642	296.69	20	-3.88	1	0	1	0	9
6	379.33	36.56	38.78	53.20	17.69	428.04	308.90	119.13	398.14	29.89	82.87	0.10	88.87	3521	100.97	8.11	5.84	34.77	4.97	15.97	186.06	358.86	86	13.14	11.40	1811	358.86	39	4.59	1	0	1	0	200
7	454.41	43.59	59.72	48.31	22.72	489.86	315.70	174.16	472.65	17.21	113.93	0.04	126.84	6631	119.88	8.49	5.88	44.32	5.74	16.43	285.59	456.89	106	38.67	14.40	3792	456.89	56	5.60	4	0	4	0	200
8	404.25	32.89	50.06	32.52	16.08	429.33	281.93	147.39	370.36	58.97	55.91	0.06	70.13	2563	95.31	8.36	4.54	30.07	4.58	16.66	209.01	342.56	72	0.00	9.88	1327	342.56	30	4.83	2	0	2	0	200
9	444.27	36.47	53.15	38.90	17.36	449.11	334.85	114.26	373.32	75.79	74.39	0.05	88.87	3521	104.72	7.95	4.77	33.17	4.90	15.59	235.06	376.90	86	13.14	11.40	1811	376.90	39	5.04	2	0	2	0	200
10	396.34	39.58	41.88	58.50	18.35	494.86	344.54	150.32	474.46	20.40	103.06	0.04	105.31	5213	115.88	8.77	4.21	39.54	5.41	17.21	278.50	433.23	92	12.89	12.88	2955	433.23	47	5.93	2	0	2	0	200
11	303.453	33.64	48.87	35.11	16.95	430.80	307.08	123.72	390.86	39.94	114.31	0.06	74.97	2968	95.10	7.84	4.52	37.68	5.24	15.16	209.40	352.72	74	12.89	10.38	1623	352.72	33	1.96	1	0	1	0	200
12	290.454	33.16	17.08	33.00	49.39	400.77	310.00	90.77	381.83	18.94	108.85	0.11	70.13	2563	90.98	8.14	4.67	30.47	4.56	16.24	182.94	334.92	72	0.00	9.88	1327	334.92	30	3.48	0	0	0	0	200
